Fecha,Curva de Maroñas,Colón,Tres Cruces
31/03/19,22,67,ND
01/04/19,28,69,ND
02/04/19,55,92,ND
03/04/19,20,55,ND
04/04/19,41,69,ND
05/04/19,28,67,ND
06/04/19,28,72,ND
07/04/19,41,84,ND
08/04/19,44,133,ND
09/04/19,42,72,ND
10/04/19,28,63,ND
11/04/19,26,59,ND
12/04/19,27,73,ND
13/04/19,20,56,ND
14/04/19,28,83,ND
15/04/19,24,ND,ND
16/04/19,23,ND,ND
17/04/19,32,73,ND
18/04/19,29,ND,ND
19/04/19,31,ND,ND
20/04/19,23,ND,ND
21/04/19,38,ND,ND
22/04/19,24,ND,ND
23/04/19,23,ND,ND
24/04/19,23,ND,ND
25/04/19,28,ND,ND
26/04/19,33,ND,ND
27/04/19,32,ND,ND
28/04/19,32,ND,ND
29/04/19,38,ND,ND
30/04/19,23,ND,ND
01/05/19,12,ND,ND
02/05/19,31,ND,ND
03/05/19,38,ND,ND
04/05/19,20,ND,ND
